PRICEEACH,SALES,ORDERDATE,YEAR_ID,PRODUCTLINE,CITY,COUNTRY
100,7136.19,9/8/2004 0:00,2004,Classic Cars,Boras,Sweden
100,10172.7,10/11/2004 0:00,2004,Classic Cars,Versailles,France
100,11623.7,10/21/2004 0:00,2004,Classic Cars,San Rafael,USA
100,6000.4,11/4/2004 0:00,2004,Classic Cars,Nashua,USA
100,3003,11/18/2004 0:00,2004,Classic Cars,San Francisco,USA
100,3944.7,11/29/2004 0:00,2004,Classic Cars,Melbourne,Australia
100,5691.84,12/10/2004 0:00,2004,Classic Cars,San Rafael,USA
100,4514.92,1/20/2005 0:00,2005,Classic Cars,Brickhaven,USA
100,8254.8,2/17/2005 0:00,2005,Classic Cars,San Francisco,USA
100,2416.56,3/9/2005 0:00,2005,Classic Cars,North Sydney,Australia
100,4140.23,5/1/2005 0:00,2005,Classic Cars,Montreal,Canada
100,12001,5/31/2005 0:00,2005,Classic Cars,Madrid,Spain
99.91,3896.49,2/24/2003 0:00,2003,Motorcycles,NYC,USA
96.34,2793.86,4/29/2003 0:00,2003,Motorcycles,Melbourne,Australia
100,3307.77,7/1/2003 0:00,2003,Motorcycles,Paris,France
100,5192.95,8/25/2003 0:00,2003,Motorcycles,Pasadena,USA
100,5016.83,10/10/2003 0:00,2003,Motorcycles,San Francisco,USA
100,3660.93,10/28/2003 0:00,2003,Motorcycles,Burlingame,USA
100,4695.6,11/11/2003 0:00,2003,Motorcycles,Lille,France
96.34,3660.92,11/18/2003 0:00,2003,Motorcycles,Bergen,Norway
100,3025.92,12/1/2003 0:00,2003,Motorcycles,San Francisco,USA
100,3009.09,1/12/2004 0:00,2004,Motorcycles,Osaka,Japan
100,5422.39,2/20/2004 0:00,2004,Motorcycles,Melbourne,Australia
100,2852.08,4/3/2004 0:00,2004,Motorcycles,Philadelphia,USA
100,5756.52,5/18/2004 0:00,2004,Motorcycles,Newark,USA
100,4472,6/28/2004 0:00,2004,Motorcycles,Bridgewater,USA
100,2904.44,7/23/2004 0:00,2004,Motorcycles,Nantes,France
100,6484.59,8/27/2004 0:00,2004,Motorcycles,Cambridge,USA
96.34,3757.26,9/27/2004 0:00,2004,Motorcycles,Nantes,France
100,4043.96,10/15/2004 0:00,2004,Motorcycles,White Plains,USA
100,5566.5,11/2/2004 0:00,2004,Motorcycles,Allentown,USA
100,3176,11/15/2004 0:00,2004,Motorcycles,NYC,USA
68.92,2756.8,11/23/2004 0:00,2004,Motorcycles,Minato-ku,Japan
51.15,1329.9,12/17/2004 0:00,2004,Motorcycles,Chatswood,Australia
100,5288.01,2/2/2005 0:00,2005,Motorcycles,South Brisbane,Australia
44.51,2225.5,3/3/2005 0:00,2005,Motorcycles,New Bedford,USA
100,5833.8,4/7/2005 0:00,2005,Motorcycles,Paris,France
100,5887.35,5/13/2005 0:00,2005,Motorcycles,Madrid,Spain
100,6065.55,2/24/2003 0:00,2003,Motorcycles,NYC,USA
100,9264.86,4/29/2003 0:00,2003,Motorcycles,Melbourne,Australia
100,7023.98,7/1/2003 0:00,2003,Motorcycles,Paris,France
100,5176.38,8/25/2003 0:00,2003,Motorcycles,Pasadena,USA
100,4132.7,10/10/2003 0:00,2003,Motorcycles,San Francisco,USA
100,4183,10/28/2003 0:00,2003,Motorcycles,Burlingame,USA
100,8892.9,11/11/2003 0:00,2003,Motorcycles,Lille,France
100,8714.7,11/18/2003 0:00,2003,Motorcycles,Bergen,Norway
100,8065.89,12/1/2003 0:00,2003,Motorcycles,San Francisco,USA
100,6123.4,1/12/2004 0:00,2004,Motorcycles,Osaka,Japan
100,9774.03,2/20/2004 0:00,2004,Motorcycles,Melbourne,Australia
100,7023.9,4/5/2004 0:00,2004,Motorcycles,NYC,USA
100,7078.23,5/18/2004 0:00,2004,Motorcycles,Newark,USA
100,8336.94,6/28/2004 0:00,2004,Motorcycles,Bridgewater,USA
100,6901.92,7/23/2004 0:00,2004,Motorcycles,Nantes,France
100,5438.07,8/27/2004 0:00,2004,Motorcycles,Cambridge,USA
100,6683.34,9/30/2004 0:00,2004,Motorcycles,Helsinki,Finland
100,4570.4,10/15/2004 0:00,2004,Motorcycles,White Plains,USA
100,7667.14,11/2/2004 0:00,2004,Motorcycles,Allentown,USA
100,5868.2,11/15/2004 0:00,2004,Motorcycles,NYC,USA
76.67,2990.13,11/23/2004 0:00,2004,Motorcycles,Minato-ku,Japan
100,3664.1,1/5/2005 0:00,2005,Motorcycles,Burlingame,USA
100,3834.38,2/2/2005 0:00,2005,Motorcycles,South Brisbane,Australia
86.77,1822.17,3/3/2005 0:00,2005,Motorcycles,New Bedford,USA
100,11886.6,4/8/2005 0:00,2005,Motorcycles,Liverpool,UK
100,9218.16,5/13/2005 0:00,2005,Motorcycles,Madrid,Spain
100,7208,2/11/2003 0:00,2003,Classic Cars,Kobenhavn,Denmark
100,5004.8,4/28/2003 0:00,2003,Classic Cars,Salzburg,Austria
100,4398.24,6/12/2003 0:00,2003,Classic Cars,London,UK
100,5597.76,8/10/2003 0:00,2003,Classic Cars,New Bedford,USA
100,4526.08,10/6/2003 0:00,2003,Classic Cars,Helsinki,Finland
100,5924.16,10/23/2003 0:00,2003,Classic Cars,Boras,Sweden
100,3492.48,11/8/2003 0:00,2003,Classic Cars,Toulouse,France
100,3854.24,11/14/2003 0:00,2003,Classic Cars,London,UK
100,5324.4,11/26/2003 0:00,2003,Classic Cars,Barcelona,Spain
100,5197.92,1/9/2004 0:00,2004,Classic Cars,Los Angeles,USA
100,5997.6,2/19/2004 0:00,2004,Classic Cars,San Diego,USA
100,2910.4,5/7/2004 0:00,2004,Classic Cars,NYC,USA
100,3378.24,6/17/2004 0:00,2004,Classic Cars,Montreal,Canada
100,3508.8,7/21/2004 0:00,2004,Classic Cars,Bruxelles,Belgium
100,2992,8/20/2004 0:00,2004,Classic Cars,Tsawassen,Canada
100,3427.2,9/10/2004 0:00,2004,Classic Cars,Boston,USA
100,2692.8,10/14/2004 0:00,2004,Classic Cars,Philadelphia,USA
100,4128.96,11/1/2004 0:00,2004,Classic Cars,Cowes,UK
64.93,3051.71,11/5/2004 0:00,2004,Classic Cars,Stavern,Norway
48.05,1201.25,11/21/2004 0:00,2004,Classic Cars,NYC,USA
75.47,1962.22,12/2/2004 0:00,2004,Classic Cars,Madrid,Spain
54.68,2624.64,12/15/2004 0:00,2004,Classic Cars,Reims,France
100,4046.25,1/31/2005 0:00,2005,Classic Cars,Oulu,Finland
100,4846.7,2/23/2005 0:00,2005,Classic Cars,San Francisco,USA
100,3370.56,3/17/2005 0:00,2005,Classic Cars,Paris,France
100,9661.44,4/1/2005 0:00,2005,Classic Cars,San Jose,USA
100,2764.88,5/6/2005 0:00,2005,Classic Cars,Boston,USA
100,5398.26,1/29/2003 0:00,2003,Classic Cars,Stavern,Norway
100,4305.28,4/1/2003 0:00,2003,Classic Cars,Paris,France
100,3347.74,5/28/2003 0:00,2003,Classic Cars,Madrid,Spain
100,3188.12,7/24/2003 0:00,2003,Classic Cars,Burlingame,USA
100,3191.2,9/19/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,3536.82,10/21/2003 0:00,2003,Classic Cars,Graz,Austria
100,5362.83,11/6/2003 0:00,2003,Classic Cars,London,UK
100,3433.36,11/13/2003 0:00,2003,Classic Cars,Philadelphia,USA
100,4263.74,11/25/2003 0:00,2003,Classic Cars,Lyon,France
100,4076.19,12/9/2003 0:00,2003,Classic Cars,Boston,USA
100,7020.48,2/4/2004 0:00,2004,Classic Cars,Singapore,Singapore
100,6426.5,3/11/2004 0:00,2004,Classic Cars,San Rafael,USA
100,4591.72,5/4/2004 0:00,2004,Classic Cars,New Haven,USA
100,4033.38,6/15/2004 0:00,2004,Classic Cars,Singapore,Singapore
100,4302.08,7/19/2004 0:00,2004,Classic Cars,Chatswood,Australia
100,7020.64,8/19/2004 0:00,2004,Classic Cars,Allentown,USA
100,3855.9,9/8/2004 0:00,2004,Classic Cars,Boras,Sweden
100,6680.78,10/13/2004 0:00,2004,Classic Cars,Cambridge,USA
100,6678,10/22/2004 0:00,2004,Classic Cars,Vancouver,Canada
61.99,2851.54,11/4/2004 0:00,2004,Classic Cars,Nashua,USA
100,3188.12,11/19/2004 0:00,2004,Classic Cars,Lule,Sweden
100,4428,11/29/2004 0:00,2004,Classic Cars,Melbourne,Australia
100,5780.92,12/10/2004 0:00,2004,Classic Cars,San Rafael,USA
65.63,2297.05,1/20/2005 0:00,2005,Classic Cars,North Sydney,Australia
100,6231.54,2/17/2005 0:00,2005,Classic Cars,San Francisco,USA
46.9,1735.3,3/9/2005 0:00,2005,Classic Cars,North Sydney,Australia
100,4427.73,5/1/2005 0:00,2005,Classic Cars,Montreal,Canada
100,5894.94,5/31/2005 0:00,2005,Classic Cars,Nantes,France
100,5265.15,3/3/2003 0:00,2003,Classic Cars,Makati City,Philippines
100,7599.9,5/8/2003 0:00,2003,Classic Cars,Marseille,France
100,8008.56,7/2/2003 0:00,2003,Classic Cars,San Rafael,USA
100,9245.76,9/5/2003 0:00,2003,Classic Cars,Brickhaven,USA
100,8296.35,10/10/2003 0:00,2003,Classic Cars,San Francisco,USA
100,5019.9,11/4/2003 0:00,2003,Classic Cars,North Sydney,Australia
100,5411.07,11/12/2003 0:00,2003,Classic Cars,Bergen,Norway
100,3840.9,11/20/2003 0:00,2003,Classic Cars,Koln,Germany
100,3930.4,12/2/2003 0:00,2003,Classic Cars,Madrid,Spain
100,7498.9,1/15/2004 0:00,2004,Classic Cars,Paris,France
100,4517.91,2/22/2004 0:00,2004,Classic Cars,Gensve,Switzerland
100,5774.72,4/9/2004 0:00,2004,Classic Cars,Kobenhavn,Denmark
100,3922.56,6/1/2004 0:00,2004,Classic Cars,Liverpool,UK
100,9160.36,7/6/2004 0:00,2004,Classic Cars,Reggio Emilia,Italy
100,9631,8/2/2004 0:00,2004,Classic Cars,Brickhaven,USA
100,3432.24,8/30/2004 0:00,2004,Classic Cars,Gensve,Switzerland
100,5521.89,10/4/2003 0:00,2003,Classic Cars,Frankfurt,Germany
100,6934.62,10/16/2004 0:00,2004,Classic Cars,Koln,Germany
100,6876.11,11/3/2004 0:00,2004,Classic Cars,Lule,Sweden
71.47,2930.27,11/15/2004 0:00,2004,Classic Cars,NYC,USA
79.65,3584.25,11/24/2004 0:00,2004,Classic Cars,Salzburg,Austria
85.39,2817.87,1/6/2005 0:00,2005,Classic Cars,Espoo,Finland
76,3420,2/3/2005 0:00,2005,Classic Cars,Nantes,France
99.04,2575.04,3/3/2005 0:00,2005,Classic Cars,Boras,Sweden
100,1961.28,5/17/2005 0:00,2005,Classic Cars,Salzburg,Austria
100,8690.36,2/11/2003 0:00,2003,Classic Cars,Kobenhavn,Denmark
100,6034.38,4/16/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,11279.2,6/3/2003 0:00,2003,Classic Cars,NYC,USA
100,8023.29,8/8/2003 0:00,2003,Classic Cars,San Rafael,USA
100,4904,9/28/2003 0:00,2003,Classic Cars,Madrid,Spain
100,8594.52,10/22/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,7474.5,11/6/2003 0:00,2003,Classic Cars,Reggio Emilia,Italy
100,3883.74,11/14/2003 0:00,2003,Classic Cars,New Bedford,USA
100,8887.7,11/26/2003 0:00,2003,Classic Cars,New Haven,USA
100,8602.92,1/2/2004 0:00,2004,Classic Cars,Lyon,France
100,7181.44,2/12/2004 0:00,2004,Classic Cars,Dublin,Ireland
100,8378.58,3/19/2004 0:00,2004,Classic Cars,Madrid,Spain
100,10606.2,5/5/2004 0:00,2004,Classic Cars,Espoo,Finland
100,5818.4,7/20/2004 0:00,2004,Classic Cars,Allentown,USA
100,7071.27,8/20/2004 0:00,2004,Classic Cars,San Rafael,USA
100,8411.56,9/9/2004 0:00,2004,Classic Cars,Torino,Italy
100,6570.76,10/14/2004 0:00,2004,Classic Cars,Manchester,UK
100,7975.44,10/22/2004 0:00,2004,Classic Cars,Aaarhus,Denmark
64,2688,11/5/2004 0:00,2004,Classic Cars,Stavern,Norway
57.22,1888.26,11/20/2004 0:00,2004,Classic Cars,Paris,France
52.36,2513.28,11/1/2004 0:00,2004,Classic Cars,Madrid,Spain
100,4764.48,12/15/2004 0:00,2004,Classic Cars,Reims,France
100,3560.64,1/23/2005 0:00,2005,Classic Cars,San Rafael,USA
100,3823.64,2/17/2005 0:00,2005,Classic Cars,San Rafael,USA
69.12,2280.96,3/17/2005 0:00,2005,Classic Cars,Paris,France
100,8677.8,5/5/2005 0:00,2005,Classic Cars,Bridgewater,USA
100,3394.98,1/29/2003 0:00,2003,Trucks and Buses,Stavern,Norway
100,3415.44,3/26/2003 0:00,2003,Trucks and Buses,San Rafael,USA
100,2439.57,5/28/2003 0:00,2003,Trucks and Buses,Madrid,Spain
100,4829.8,7/24/2003 0:00,2003,Trucks and Buses,Burlingame,USA
100,4100.1,9/19/2003 0:00,2003,Trucks and Buses,Singapore,Singapore
100,6563.06,10/21/2003 0:00,2003,Trucks and Buses,Graz,Austria
100,6817.22,11/6/2003 0:00,2003,Trucks and Buses,South Brisbane,Australia
100,6163.94,11/13/2003 0:00,2003,Trucks and Buses,Philadelphia,USA
100,4933.92,11/25/2003 0:00,2003,Trucks and Buses,Lyon,France
100,4056.36,12/5/2003 0:00,2003,Trucks and Buses,Vancouver,Canada
100,5759.42,2/2/2004 0:00,2004,Trucks and Buses,Versailles,France
100,3451,3/11/2004 0:00,2004,Trucks and Buses,San Rafael,USA
100,5920.4,5/4/2004 0:00,2004,Trucks and Buses,New Haven,USA
100,6668.24,6/15/2004 0:00,2004,Trucks and Buses,Minato-ku,Japan
100,4094.72,7/19/2004 0:00,2004,Trucks and Buses,Chatswood,Australia
100,2938.5,8/19/2004 0:00,2004,Trucks and Buses,Allentown,USA
100,6387.8,9/8/2004 0:00,2004,Trucks and Buses,Boras,Sweden
100,6396,10/11/2004 0:00,2004,Trucks and Buses,Versailles,France
100,2669.1,10/22/2004 0:00,2004,Trucks and Buses,Vancouver,Canada
100,4784.13,11/4/2004 0:00,2004,Trucks and Buses,Nashua,USA
99.21,3273.93,11/18/2004 0:00,2004,Trucks and Buses,San Francisco,USA
100,3586.43,11/29/2004 0:00,2004,Trucks and Buses,Melbourne,Australia
100,5960.36,12/10/2004 0:00,2004,Trucks and Buses,San Rafael,USA
100,8470.14,1/20/2005 0:00,2005,Trucks and Buses,North Sydney,Australia
100,2952,2/17/2005 0:00,2005,Trucks and Buses,San Francisco,USA
63.2,2464.8,3/9/2005 0:00,2005,Trucks and Buses,North Sydney,Australia
100,6232,5/1/2005 0:00,2005,Trucks and Buses,Montreal,Canada
100,7969.36,5/31/2005 0:00,2005,Trucks and Buses,Madrid,Spain
100,3036.6,2/24/2003 0:00,2003,Motorcycles,NYC,USA
100,8284,5/7/2003 0:00,2003,Motorcycles,Reims,France
100,2711.2,7/1/2003 0:00,2003,Motorcycles,Paris,France
100,8339.8,8/25/2003 0:00,2003,Motorcycles,Pasadena,USA
100,6238.84,10/10/2003 0:00,2003,Motorcycles,San Francisco,USA
100,4639.25,11/4/2003 0:00,2003,Motorcycles,North Sydney,Australia
100,6747.6,11/11/2003 0:00,2003,Motorcycles,Lille,France
100,4512.48,11/18/2003 0:00,2003,Motorcycles,Pasadena,USA
100,4029,12/1/2003 0:00,2003,Motorcycles,San Francisco,USA
100,4771.8,1/15/2004 0:00,2004,Motorcycles,Paris,France
100,6087.94,2/21/2004 0:00,2004,Motorcycles,Lille,France
100,4193.28,4/5/2004 0:00,2004,Motorcycles,NYC,USA
100,7552.28,5/18/2004 0:00,2004,Motorcycles,Newark,USA
100,6434.4,6/28/2004 0:00,2004,Motorcycles,Bridgewater,USA
100,5181.5,8/2/2004 0:00,2004,Motorcycles,Brickhaven,USA
100,6863.92,8/27/2004 0:00,2004,Motorcycles,Cambridge,USA
100,4157.04,9/30/2004 0:00,2004,Motorcycles,Helsinki,Finland
100,4660.24,10/15/2004 0:00,2004,Motorcycles,Stavern,Norway
100,4111.8,11/3/2004 0:00,2004,Motorcycles,NYC,USA
100,3542.64,11/15/2004 0:00,2004,Motorcycles,NYC,USA
100,8118.55,11/24/2004 0:00,2004,Motorcycles,Salzburg,Austria
100,3877.06,1/5/2005 0:00,2005,Motorcycles,Burlingame,USA
78.92,3867.08,2/3/2005 0:00,2005,Motorcycles,Nantes,France
100,5951.44,3/3/2005 0:00,2005,Motorcycles,New Bedford,USA
100,8648.64,4/8/2005 0:00,2005,Motorcycles,Liverpool,UK
100,3447.78,5/13/2005 0:00,2005,Motorcycles,Madrid,Spain
100,5958.5,1/31/2003 0:00,2003,Classic Cars,Madrid,Spain
100,5911.64,4/16/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,7366.44,6/3/2003 0:00,2003,Classic Cars,NYC,USA
100,4985.64,8/8/2003 0:00,2003,Classic Cars,San Rafael,USA
100,5393.64,9/28/2003 0:00,2003,Classic Cars,Madrid,Spain
100,4880.02,10/22/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,8378.69,11/6/2003 0:00,2003,Classic Cars,Reggio Emilia,Italy
100,4038.21,11/14/2003 0:00,2003,Classic Cars,New Bedford,USA
100,3807.12,11/26/2003 0:00,2003,Classic Cars,New Haven,USA
100,3142.36,1/2/2004 0:00,2004,Classic Cars,Lyon,France
100,4713.6,2/12/2004 0:00,2004,Classic Cars,Dublin,Ireland
100,7016.31,3/15/2004 0:00,2004,Classic Cars,Frankfurt,Germany
100,4381.25,5/5/2004 0:00,2004,Classic Cars,Espoo,Finland
100,4283.01,7/20/2004 0:00,2004,Classic Cars,Allentown,USA
100,4364.82,8/20/2004 0:00,2004,Classic Cars,San Rafael,USA
100,4242.24,9/9/2004 0:00,2004,Classic Cars,Torino,Italy
100,4982.7,10/14/2004 0:00,2004,Classic Cars,Manchester,UK
100,6393.54,10/22/2004 0:00,2004,Classic Cars,Aaarhus,Denmark
54.33,1466.91,11/5/2004 0:00,2004,Classic Cars,NYC,USA
100,4059.33,11/20/2004 0:00,2004,Classic Cars,Paris,France
100,4801.52,11/1/2004 0:00,2004,Classic Cars,Madrid,Spain
55.34,2711.66,12/10/2004 0:00,2004,Classic Cars,Madrid,Spain
100,5862,1/26/2005 0:00,2005,Classic Cars,Minato-ku,Japan
100,4071.85,2/17/2005 0:00,2005,Classic Cars,San Rafael,USA
100,8236.75,5/5/2005 0:00,2005,Classic Cars,Bridgewater,USA
100,6130.35,3/3/2003 0:00,2003,Classic Cars,Makati City,Philippines
99.82,3693.34,5/8/2003 0:00,2003,Classic Cars,Marseille,France
100,6031.68,7/2/2003 0:00,2003,Classic Cars,San Rafael,USA
100,3494.94,9/5/2003 0:00,2003,Classic Cars,Brickhaven,USA
100,5294.14,10/11/2003 0:00,2003,Classic Cars,Los Angeles,USA
100,5464.69,11/4/2003 0:00,2003,Classic Cars,Graz,Austria
100,2860.76,11/12/2003 0:00,2003,Classic Cars,Bergen,Norway
100,5590,11/20/2003 0:00,2003,Classic Cars,Koln,Germany
100,2254.8,12/2/2003 0:00,2003,Classic Cars,Madrid,Spain
100,4946.76,1/16/2004 0:00,2004,Classic Cars,Madrid,Spain
99.82,2495.5,2/22/2004 0:00,2004,Classic Cars,Gensve,Switzerland
100,3167.38,4/9/2004 0:00,2004,Classic Cars,Kobenhavn,Denmark
100,2402.84,6/1/2004 0:00,2004,Classic Cars,Liverpool,UK
100,2454.54,7/6/2004 0:00,2004,Classic Cars,Reggio Emilia,Italy
100,5464.69,8/2/2004 0:00,2004,Classic Cars,Brickhaven,USA
100,4756.5,8/30/2004 0:00,2004,Classic Cars,Gensve,Switzerland
100,3984.6,10/4/2003 0:00,2003,Classic Cars,Frankfurt,Germany
100,3100.32,10/16/2004 0:00,2004,Classic Cars,Koln,Germany
100,4850.3,11/3/2004 0:00,2004,Classic Cars,Lule,Sweden
83.63,3846.98,11/15/2004 0:00,2004,Classic Cars,NYC,USA
95.93,4220.92,11/24/2004 0:00,2004,Classic Cars,Salzburg,Austria
96.73,3288.82,1/6/2005 0:00,2005,Classic Cars,Espoo,Finland
100,3987.2,2/8/2005 0:00,2005,Classic Cars,Glendale,USA
72.38,1809.5,3/3/2005 0:00,2005,Classic Cars,Boras,Sweden
100,1092.2,5/17/2005 0:00,2005,Classic Cars,Salzburg,Austria
100,4566.05,2/11/2003 0:00,2003,Classic Cars,Kobenhavn,Denmark
100,5938.14,4/16/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,8138.76,6/3/2003 0:00,2003,Classic Cars,NYC,USA
100,9470.94,8/8/2003 0:00,2003,Classic Cars,San Rafael,USA
100,7036.89,9/28/2003 0:00,2003,Classic Cars,Madrid,Spain
100,5559.03,10/22/2003 0:00,2003,Classic Cars,Singapore,Singapore
100,7872.5,11/6/2003 0:00,2003,Classic Cars,Reggio Emilia,Italy
100,7886.2,11/14/2003 0:00,2003,Classic Cars,New Bedford,USA
100,7232.16,11/26/2003 0:00,2003,Classic Cars,New Haven,USA
100,3114.4,1/2/2004 0:00,2004,Classic Cars,Lyon,France
100,5045.22,2/12/2004 0:00,2004,Classic Cars,Dublin,Ireland
100,6952.12,3/19/2004 0:00,2004,Classic Cars,Madrid,Spain
100,4157.73,5/5/2004 0:00,2004,Classic Cars,Espoo,Finland
100,7962.24,7/20/2004 0:00,2004,Classic Cars,Allentown,USA
100,3778.8,8/20/2004 0:00,2004,Classic Cars,San Rafael,USA
100,8253,9/9/2004 0:00,2004,Classic Cars,Torino,Italy
100,3633.4,10/14/2004 0:00,2004,Classic Cars,Manchester,UK
100,6913.8,10/22/2004 0:00,2004,Classic Cars,Aaarhus,Denmark
100,2583.6,11/5/2004 0:00,2004,Classic Cars,Stavern,Norway
63.38,3105.62,11/20/2004 0:00,2004,Classic Cars,Paris,France
100,4408.56,12/1/2004 0:00,2004,Classic Cars,NYC,USA
62.09,3042.41,12/15/2004 0:00,2004,Classic Cars,Reims,France
100,5941.5,1/26/2005 0:00,2005,Classic Cars,Minato-ku,Japan
95.35,3241.9,2/17/2005 0:00,2005,Classic Cars,San Rafael,USA
100,6109.29,3/23/2005 0:00,2005,Classic Cars,San Rafael,USA
100,3387.78,5/5/2005 0:00,2005,Classic Cars,Bridgewater,USA
89.38,3485.82,3/3/2003 0:00,2003,Classic Cars,Makati City,Philippines
63.84,2042.88,5/8/2003 0:00,2003,Classic Cars,Marseille,France
75.01,1800.24,7/2/2003 0:00,2003,Classic Cars,San Rafael,USA
63.84,1340.64,9/5/2003 0:00,2003,Classic Cars,Brickhaven,USA
73.42,1762.08,10/10/2003 0:00,2003,Classic Cars,San Francisco,USA
63.84,2298.24,11/4/2003 0:00,2003,Classic Cars,North Sydney,Australia
81.4,1628,11/12/2003 0:00,2003,Classic Cars,Bergen,Norway
64.64,1939.2,11/20/2003 0:00,2003,Classic Cars,Koln,Germany
82.99,3651.56,12/2/2003 0:00,2003,Classic Cars,Madrid,Spain
92.57,2591.96,1/15/2004 0:00,2004,Classic Cars,Paris,France
77.41,2864.17,2/22/2004 0:00,2004,Classic Cars,Gensve,Switzerland
74.21,1484.2,4/9/2004 0:00,2004,Classic Cars,Kobenhavn,Denmark
90.17,2254.25,6/1/2004 0:00,2004,Classic Cars,Liverpool,UK
76.61,2681.35,7/6/2004 0:00,2004,Classic Cars,Reggio Emilia,Italy
83.79,3184.02,8/2/2004 0:00,2004,Classic Cars,Brickhaven,USA
69.43,2846.63,8/30/2004 0:00,2004,Classic Cars,Gensve,Switzerland
76.61,1685.42,10/4/2003 0:00,2003,Classic Cars,Frankfurt,Germany
81.4,3988.6,10/16/2004 0:00,2004,Classic Cars,Koln,Germany
73.42,2789.96,11/3/2004 0:00,2004,Classic Cars,Lule,Sweden
100,3607.56,11/15/2004 0:00,2004,Classic Cars,NYC,USA
93.56,3368.16,11/24/2004 0:00,2004,Classic Cars,Salzburg,Austria
81.62,2775.08,1/6/2005 0:00,2005,Classic Cars,Espoo,Finland
67.83,1627.92,2/9/2005 0:00,2005,Classic Cars,Helsinki,Finland
70.26,2529.36,3/3/2005 0:00,2005,Classic Cars,Boras,Sweden
90.17,3065.78,5/17/2005 0:00,2005,Classic Cars,Salzburg,Austria
100,4615.78,1/31/2003 0:00,2003,Trucks and Buses,Madrid,Spain
100,5723.78,4/4/2003 0:00,2003,Trucks and Buses,NYC,USA
100,2559.6,6/3/2003 0:00,2003,Trucks and Buses,NYC,USA
100,2140.11,8/1/2003 0:00,2003,Trucks and Buses,Espoo,Finland
100,3327.6,9/21/2003 0:00,2003,Trucks and Buses,Oulu,Finland
